Date-Time,Region,Facility,Entrance,Entries,Exits
12/11/19 4:00 PM,UC Berkeley,MOFF Library,Moffit Entry,262,7
12/11/19 4:00 PM,UC Berkeley,MOFF Library,Moffit Exit,0,243
12/11/19 4:00 PM,UC Berkeley,MOFF Library,Moffitt 4th,201,227
12/11/19 4:00 PM,UC Berkeley,MORR Library,Morrison,26,22
12/11/19 4:00 PM,UC Berkeley,MUSI,MUSI,39,68
12/11/19 4:00 PM,UC Berkeley,NEWS Library,News,8,12
12/11/19 4:00 PM,UC Berkeley,OPTO Library,OPTO,20,12
12/11/19 4:00 PM,UC Berkeley,PHYS Library,PHYS,21,26
12/11/19 4:00 PM,UC Berkeley,SEAL Library,SEAL,4,13
12/11/19 4:00 PM,UC Berkeley,SOCR Library,SOCR,12,20
12/11/19 5:00 PM,,,TEST,0,0
12/11/19 5:00 PM,UC Berkeley,AHC Library,AHC Back,0,4
12/11/19 5:00 PM,UC Berkeley,AHC Library,AHC Front,5,5
12/11/19 5:00 PM,UC Berkeley,ANTH Library,ANTH,42,70
12/11/19 5:00 PM,UC Berkeley,BANC Library,Bancroft,26,13
12/11/19 5:00 PM,UC Berkeley,BIOS Library,VLSB1,40,108
12/11/19 5:00 PM,UC Berkeley,BIOS Library,VLSB2,51,45
12/11/19 5:00 PM,UC Berkeley,CHEM Library,CHEM,25,43
12/11/19 5:00 PM,UC Berkeley,DOE Library,Doe North,118,235
12/11/19 5:00 PM,UC Berkeley,DOE Library,Doe South,72,171
12/11/19 5:00 PM,UC Berkeley,DOE STACKS,Moffit Corridor,163,125
12/11/19 5:00 PM,UC Berkeley,DOE STACKS,Stacks East,64,93
12/11/19 5:00 PM,UC Berkeley,EAL Library,EAL,38,65
12/11/19 5:00 PM,UC Berkeley,EART Library,Earth North,11,18
12/11/19 5:00 PM,UC Berkeley,EART Library,Earth South,6,13
12/11/19 5:00 PM,UC Berkeley,ENGI Library,ENGI,147,210
12/11/19 5:00 PM,UC Berkeley,ENVI Library,ENVI,91,96
12/11/19 5:00 PM,UC Berkeley,GRDS Library,GRAD,25,29
12/11/19 5:00 PM,UC Berkeley,HAAS Library,HAAS 2F,110,120
12/11/19 5:00 PM,UC Berkeley,HAAS Library,HAAS 3F,41,73
12/11/19 5:00 PM,UC Berkeley,MATH Library,MATH,35,45
12/11/19 5:00 PM,UC Berkeley,MOFF Library,Moffit Entry,211,2
12/11/19 5:00 PM,UC Berkeley,MOFF Library,Moffit Exit,0,300
12/11/19 5:00 PM,UC Berkeley,MOFF Library,Moffitt 4th,136,209
12/11/19 5:00 PM,UC Berkeley,MORR Library,Morrison,15,36
12/11/19 5:00 PM,UC Berkeley,MUSI,MUSI,31,68
12/11/19 5:00 PM,UC Berkeley,NEWS Library,News,13,7
12/11/19 5:00 PM,UC Berkeley,OPTO Library,OPTO,10,17
12/11/19 5:00 PM,UC Berkeley,PHYS Library,PHYS,15,22
12/11/19 5:00 PM,UC Berkeley,SEAL Library,SEAL,3,9
12/11/19 5:00 PM,UC Berkeley,SOCR Library,SOCR,12,15
12/11/19 6:00 PM,,,TEST,0,0
12/11/19 6:00 PM,UC Berkeley,AHC Library,AHC Back,2,4
12/11/19 6:00 PM,UC Berkeley,AHC Library,AHC Front,3,6
12/11/19 6:00 PM,UC Berkeley,ANTH Library,ANTH,16,22
12/11/19 6:00 PM,UC Berkeley,BANC Library,Bancroft,0,4
12/11/19 6:00 PM,UC Berkeley,BIOS Library,VLSB1,45,87
12/11/19 6:00 PM,UC Berkeley,BIOS Library,VLSB2,29,37
12/11/19 6:00 PM,UC Berkeley,CHEM Library,CHEM,19,28
12/11/19 6:00 PM,UC Berkeley,DOE Library,Doe North,90,145
12/11/19 6:00 PM,UC Berkeley,DOE Library,Doe South,70,144
12/11/19 6:00 PM,UC Berkeley,DOE STACKS,Moffit Corridor,170,155
12/11/19 6:00 PM,UC Berkeley,DOE STACKS,Stacks East,59,95
12/11/19 6:00 PM,UC Berkeley,EAL Library,EAL,31,56
12/11/19 6:00 PM,UC Berkeley,EART Library,Earth North,7,9
12/11/19 6:00 PM,UC Berkeley,EART Library,Earth South,0,4
12/11/19 6:00 PM,UC Berkeley,ENGI Library,ENGI,120,160
12/11/19 6:00 PM,UC Berkeley,ENVI Library,ENVI,61,78
12/11/19 6:00 PM,UC Berkeley,GRDS Library,GRAD,9,18
12/11/19 6:00 PM,UC Berkeley,HAAS Library,HAAS 2F,81,129
12/11/19 6:00 PM,UC Berkeley,HAAS Library,HAAS 3F,36,54
12/11/19 6:00 PM,UC Berkeley,MATH Library,MATH,24,41
12/11/19 6:00 PM,UC Berkeley,MOFF Library,Moffit Entry,252,1
12/11/19 6:00 PM,UC Berkeley,MOFF Library,Moffit Exit,0,285
12/11/19 6:00 PM,UC Berkeley,MOFF Library,Moffitt 4th,169,195
12/11/19 6:00 PM,UC Berkeley,MORR Library,Morrison,0,0
12/11/19 6:00 PM,UC Berkeley,MUSI,MUSI,17,40
12/11/19 6:00 PM,UC Berkeley,NEWS Library,News,5,8
12/11/19 6:00 PM,UC Berkeley,OPTO Library,OPTO,5,10
12/11/19 6:00 PM,UC Berkeley,PHYS Library,PHYS,4,5
12/11/19 6:00 PM,UC Berkeley,SEAL Library,SEAL,0,0
12/11/19 6:00 PM,UC Berkeley,SOCR Library,SOCR,5,10
12/11/19 7:00 PM,,,TEST,0,0
12/11/19 7:00 PM,UC Berkeley,AHC Library,AHC Back,2,2
12/11/19 7:00 PM,UC Berkeley,AHC Library,AHC Front,2,5
12/11/19 7:00 PM,UC Berkeley,ANTH Library,ANTH,10,28
12/11/19 7:00 PM,UC Berkeley,BANC Library,Bancroft,0,0
12/11/19 7:00 PM,UC Berkeley,BIOS Library,VLSB1,36,51
12/11/19 7:00 PM,UC Berkeley,BIOS Library,VLSB2,27,24
12/11/19 7:00 PM,UC Berkeley,CHEM Library,CHEM,12,19
12/11/19 7:00 PM,UC Berkeley,DOE Library,Doe North,57,112
12/11/19 7:00 PM,UC Berkeley,DOE Library,Doe South,40,83
12/11/19 7:00 PM,UC Berkeley,DOE STACKS,Moffit Corridor,122,137
12/11/19 7:00 PM,UC Berkeley,DOE STACKS,Stacks East,46,58
12/11/19 7:00 PM,UC Berkeley,EAL Library,EAL,17,48
12/11/19 7:00 PM,UC Berkeley,EART Library,Earth North,1,5
12/11/19 7:00 PM,UC Berkeley,EART Library,Earth South,0,6
12/11/19 7:00 PM,UC Berkeley,ENGI Library,ENGI,107,123
12/11/19 7:00 PM,UC Berkeley,ENVI Library,ENVI,75,73
12/11/19 7:00 PM,UC Berkeley,GRDS Library,GRAD,3,10
12/11/19 7:00 PM,UC Berkeley,HAAS Library,HAAS 2F,72,88
12/11/19 7:00 PM,UC Berkeley,HAAS Library,HAAS 3F,18,19
12/11/19 7:00 PM,UC Berkeley,MATH Library,MATH,3,23
12/11/19 7:00 PM,UC Berkeley,MOFF Library,Moffit Entry,240,0
12/11/19 7:00 PM,UC Berkeley,MOFF Library,Moffit Exit,3,229
12/11/19 7:00 PM,UC Berkeley,MOFF Library,Moffitt 4th,151,154
12/11/19 7:00 PM,UC Berkeley,MORR Library,Morrison,0,0
12/11/19 7:00 PM,UC Berkeley,MUSI,MUSI,8,34
12/11/19 7:00 PM,UC Berkeley,NEWS Library,News,1,8
12/11/19 7:00 PM,UC Berkeley,OPTO Library,OPTO,3,4
12/11/19 7:00 PM,UC Berkeley,PHYS Library,PHYS,2,10
12/11/19 7:00 PM,UC Berkeley,SEAL Library,SEAL,0,0
12/11/19 7:00 PM,UC Berkeley,SOCR Library,SOCR,0,1
12/11/19 8:00 PM,,,TEST,0,0
12/11/19 8:00 PM,UC Berkeley,AHC Library,AHC Back,0,0
12/11/19 8:00 PM,UC Berkeley,AHC Library,AHC Front,2,4
12/11/19 8:00 PM,UC Berkeley,ANTH Library,ANTH,2,11
12/11/19 8:00 PM,UC Berkeley,BANC Library,Bancroft,0,0
12/11/19 8:00 PM,UC Berkeley,BIOS Library,VLSB1,11,33
12/11/19 8:00 PM,UC Berkeley,BIOS Library,VLSB2,22,24
12/11/19 8:00 PM,UC Berkeley,CHEM Library,CHEM,1,11
12/11/19 8:00 PM,UC Berkeley,DOE Library,Doe North,39,75
12/11/19 8:00 PM,UC Berkeley,DOE Library,Doe South,43,62
12/11/19 8:00 PM,UC Berkeley,DOE STACKS,Moffit Corridor,123,177
12/11/19 8:00 PM,UC Berkeley,DOE STACKS,Stacks East,54,48
12/11/19 8:00 PM,UC Berkeley,EAL Library,EAL,14,21
12/11/19 8:00 PM,UC Berkeley,EART Library,Earth North,1,0
12/11/19 8:00 PM,UC Berkeley,EART Library,Earth South,0,1
12/11/19 8:00 PM,UC Berkeley,ENGI Library,ENGI,109,76
12/11/19 8:00 PM,UC Berkeley,ENVI Library,ENVI,67,56
12/11/19 8:00 PM,UC Berkeley,GRDS Library,GRAD,3,6
12/11/19 8:00 PM,UC Berkeley,HAAS Library,HAAS 2F,58,70
12/11/19 8:00 PM,UC Berkeley,HAAS Library,HAAS 3F,25,21
12/11/19 8:00 PM,UC Berkeley,MATH Library,MATH,0,0
12/11/19 8:00 PM,UC Berkeley,MOFF Library,Moffit Entry,271,5
12/11/19 8:00 PM,UC Berkeley,MOFF Library,Moffit Exit,1,207
12/11/19 8:00 PM,UC Berkeley,MOFF Library,Moffitt 4th,173,118
12/11/19 8:00 PM,UC Berkeley,MORR Library,Morrison,0,0
12/11/19 8:00 PM,UC Berkeley,MUSI,MUSI,3,27
12/11/19 8:00 PM,UC Berkeley,NEWS Library,News,0,0
12/11/19 8:00 PM,UC Berkeley,OPTO Library,OPTO,1,1
12/11/19 8:00 PM,UC Berkeley,PHYS Library,PHYS,2,3
12/11/19 8:00 PM,UC Berkeley,SEAL Library,SEAL,0,0
12/11/19 8:00 PM,UC Berkeley,SOCR Library,SOCR,0,0
12/11/19 9:00 PM,,,TEST,0,0
12/11/19 9:00 PM,UC Berkeley,AHC Library,AHC Back,1,2
12/11/19 9:00 PM,UC Berkeley,AHC Library,AHC Front,1,2
12/11/19 9:00 PM,UC Berkeley,ANTH Library,ANTH,0,0
12/11/19 9:00 PM,UC Berkeley,BANC Library,Bancroft,0,0
12/11/19 9:00 PM,UC Berkeley,BIOS Library,VLSB1,14,36
12/11/19 9:00 PM,UC Berkeley,BIOS Library,VLSB2,9,8
12/11/19 9:00 PM,UC Berkeley,CHEM Library,CHEM,7,6
12/11/19 9:00 PM,UC Berkeley,DOE Library,Doe North,16,70
12/11/19 9:00 PM,UC Berkeley,DOE Library,Doe South,15,57
12/11/19 9:00 PM,UC Berkeley,DOE STACKS,Moffit Corridor,196,194
12/11/19 9:00 PM,UC Berkeley,DOE STACKS,Stacks East,24,6
12/11/19 9:00 PM,UC Berkeley,EAL Library,EAL,4,22
12/11/19 9:00 PM,UC Berkeley,EART Library,Earth North,0,0
12/11/19 9:00 PM,UC Berkeley,EART Library,Earth South,0,0
12/11/19 9:00 PM,UC Berkeley,ENGI Library,ENGI,108,121
12/11/19 9:00 PM,UC Berkeley,ENVI Library,ENVI,65,67
12/11/19 9:00 PM,UC Berkeley,GRDS Library,GRAD,0,6
12/11/19 9:00 PM,UC Berkeley,HAAS Library,HAAS 2F,31,53
12/11/19 9:00 PM,UC Berkeley,HAAS Library,HAAS 3F,20,25
12/11/19 9:00 PM,UC Berkeley,MATH Library,MATH,0,0
12/11/19 9:00 PM,UC Berkeley,MOFF Library,Moffit Entry,288,2
12/11/19 9:00 PM,UC Berkeley,MOFF Library,Moffit Exit,0,278
12/11/19 9:00 PM,UC Berkeley,MOFF Library,Moffitt 4th,133,124
12/11/19 9:00 PM,UC Berkeley,MORR Library,Morrison,0,0
12/11/19 9:00 PM,UC Berkeley,MUSI,MUSI,0,0
12/11/19 9:00 PM,UC Berkeley,NEWS Library,News,0,0
12/11/19 9:00 PM,UC Berkeley,OPTO Library,OPTO,0,6
12/11/19 9:00 PM,UC Berkeley,PHYS Library,PHYS,1,0
12/11/19 9:00 PM,UC Berkeley,SEAL Library,SEAL,0,0
12/11/19 9:00 PM,UC Berkeley,SOCR Library,SOCR,0,1
12/11/19 10:00 PM,,,TEST,0,0
12/11/19 10:00 PM,UC Berkeley,AHC Library,AHC Back,0,0
12/11/19 10:00 PM,UC Berkeley,AHC Library,AHC Front,0,0
12/11/19 10:00 PM,UC Berkeley,ANTH Library,ANTH,0,0
12/11/19 10:00 PM,UC Berkeley,BANC Library,Bancroft,0,0
12/11/19 10:00 PM,UC Berkeley,BIOS Library,VLSB1,2,38
12/11/19 10:00 PM,UC Berkeley,BIOS Library,VLSB2,4,25
12/11/19 10:00 PM,UC Berkeley,CHEM Library,CHEM,2,3
12/11/19 10:00 PM,UC Berkeley,DOE Library,Doe North,0,0
12/11/19 10:00 PM,UC Berkeley,DOE Library,Doe South,2,2
12/11/19 10:00 PM,UC Berkeley,DOE STACKS,Moffit Corridor,180,140
12/11/19 10:00 PM,UC Berkeley,DOE STACKS,Stacks East,4,0
12/11/19 10:00 PM,UC Berkeley,EAL Library,EAL,1,37
12/11/19 10:00 PM,UC Berkeley,EART Library,Earth North,0,0
12/11/19 10:00 PM,UC Berkeley,EART Library,Earth South,0,0
12/11/19 10:00 PM,UC Berkeley,ENGI Library,ENGI,70,80
12/11/19 10:00 PM,UC Berkeley,ENVI Library,ENVI,29,70
12/11/19 10:00 PM,UC Berkeley,GRDS Library,GRAD,0,0
12/11/19 10:00 PM,UC Berkeley,HAAS Library,HAAS 2F,22,59
12/11/19 10:00 PM,UC Berkeley,HAAS Library,HAAS 3F,6,15
12/11/19 10:00 PM,UC Berkeley,MATH Library,MATH,2,3
12/11/19 10:00 PM,UC Berkeley,MOFF Library,Moffit Entry,212,5
12/11/19 10:00 PM,UC Berkeley,MOFF Library,Moffit Exit,0,240
12/11/19 10:00 PM,UC Berkeley,MOFF Library,Moffitt 4th,93,119
12/11/19 10:00 PM,UC Berkeley,MORR Library,Morrison,0,0
12/11/19 10:00 PM,UC Berkeley,MUSI,MUSI,0,0
12/11/19 10:00 PM,UC Berkeley,NEWS Library,News,0,0
12/11/19 10:00 PM,UC Berkeley,OPTO Library,OPTO,0,0
12/11/19 10:00 PM,UC Berkeley,PHYS Library,PHYS,0,0
12/11/19 10:00 PM,UC Berkeley,SEAL Library,SEAL,0,0
12/11/19 10:00 PM,UC Berkeley,SOCR Library,SOCR,2,0
12/11/19 11:00 PM,,,TEST,0,0
12/11/19 11:00 PM,UC Berkeley,AHC Library,AHC Back,0,0
12/11/19 11:00 PM,UC Berkeley,AHC Library,AHC Front,0,0
12/11/19 11:00 PM,UC Berkeley,ANTH Library,ANTH,0,0
12/11/19 11:00 PM,UC Berkeley,BANC Library,Bancroft,0,0
12/11/19 11:00 PM,UC Berkeley,BIOS Library,VLSB1,0,0
12/11/19 11:00 PM,UC Berkeley,BIOS Library,VLSB2,0,0
12/11/19 11:00 PM,UC Berkeley,CHEM Library,CHEM,0,1
12/11/19 11:00 PM,UC Berkeley,DOE Library,Doe North,1,1
12/11/19 11:00 PM,UC Berkeley,DOE Library,Doe South,5,5
12/11/19 11:00 PM,UC Berkeley,DOE STACKS,Moffit Corridor,193,74
12/11/19 11:00 PM,UC Berkeley,DOE STACKS,Stacks East,0,0
12/11/19 11:00 PM,UC Berkeley,EAL Library,EAL,0,0
12/11/19 11:00 PM,UC Berkeley,EART Library,Earth North,0,0
12/11/19 11:00 PM,UC Berkeley,EART Library,Earth South,0,0
12/11/19 11:00 PM,UC Berkeley,ENGI Library,ENGI,24,97
12/11/19 11:00 PM,UC Berkeley,ENVI Library,ENVI,13,44
12/11/19 11:00 PM,UC Berkeley,GRDS Library,GRAD,0,0
12/11/19 11:00 PM,UC Berkeley,HAAS Library,HAAS 2F,9,44
12/11/19 11:00 PM,UC Berkeley,HAAS Library,HAAS 3F,7,13
12/11/19 11:00 PM,UC Berkeley,MATH Library,MATH,0,0
12/11/19 11:00 PM,UC Berkeley,MOFF Library,Moffit Entry,124,1
12/11/19 11:00 PM,UC Berkeley,MOFF Library,Moffit Exit,1,260
12/11/19 11:00 PM,UC Berkeley,MOFF Library,Moffitt 4th,84,162
12/11/19 11:00 PM,UC Berkeley,MORR Library,Morrison,0,0
12/11/19 11:00 PM,UC Berkeley,MUSI,MUSI,0,0
12/11/19 11:00 PM,UC Berkeley,NEWS Library,News,0,0
12/11/19 11:00 PM,UC Berkeley,OPTO Library,OPTO,0,0
12/11/19 11:00 PM,UC Berkeley,PHYS Library,PHYS,0,1
12/11/19 11:00 PM,UC Berkeley,SEAL Library,SEAL,0,0
12/11/19 11:00 PM,UC Berkeley,SOCR Library,SOCR,2,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
